Date,BUDAPEST,BUDAPEST.L1,BUDAPEST.L2,BUDAPEST.L3,PEST.L2,PEST.L1,BORSOD.L1
21/08/2006,124,149.0,122.0,166.0,119.0,126.0,139.0
14/08/2006,187,124.0,149.0,122.0,126.0,239.0,85.0
07/08/2006,195,187.0,124.0,149.0,239.0,133.0,52.0
31/07/2006,130,195.0,187.0,124.0,133.0,140.0,59.0
24/07/2006,126,130.0,195.0,187.0,140.0,129.0,37.0
17/07/2006,154,126.0,130.0,195.0,129.0,97.0,75.0
10/07/2006,149,154.0,126.0,130.0,97.0,121.0,42.0
03/07/2006,106,149.0,154.0,126.0,121.0,66.0,67.0
26/06/2006,151,106.0,149.0,154.0,66.0,56.0,15.0
19/06/2006,100,151.0,106.0,149.0,56.0,42.0,54.0
12/06/2006,91,100.0,151.0,106.0,42.0,34.0,81.0
05/06/2006,46,91.0,100.0,151.0,34.0,30.0,17.0
29/05/2006,38,46.0,91.0,100.0,30.0,62.0,7.0
22/05/2006,13,38.0,46.0,91.0,62.0,9.0,20.0
15/05/2006,22,13.0,38.0,46.0,9.0,8.0,3.0
08/05/2006,33,22.0,13.0,38.0,8.0,4.0,2.0
01/05/2006,9,33.0,22.0,13.0,4.0,4.0,6.0
24/04/2006,14,9.0,33.0,22.0,4.0,2.0,8.0
17/04/2006,48,14.0,9.0,33.0,2.0,0.0,13.0
10/04/2006,7,48.0,14.0,9.0,0.0,4.0,3.0
03/04/2006,18,7.0,48.0,14.0,4.0,6.0,3.0
27/03/2006,6,18.0,7.0,48.0,6.0,9.0,9.0
20/03/2006,21,6.0,18.0,7.0,9.0,20.0,4.0
13/03/2006,30,21.0,6.0,18.0,20.0,18.0,17.0
06/03/2006,21,30.0,21.0,6.0,18.0,15.0,31.0
27/02/2006,79,21.0,30.0,21.0,15.0,12.0,13.0
20/02/2006,64,79.0,21.0,30.0,12.0,38.0,16.0
13/02/2006,55,64.0,79.0,21.0,38.0,25.0,71.0
06/02/2006,18,55.0,64.0,79.0,25.0,43.0,37.0
30/01/2006,101,18.0,55.0,64.0,43.0,52.0,80.0
23/01/2006,63,101.0,18.0,55.0,52.0,35.0,44.0
16/01/2006,59,63.0,101.0,18.0,35.0,29.0,81.0
09/01/2006,6,59.0,63.0,101.0,29.0,54.0,84.0
02/01/2006,26,6.0,59.0,63.0,54.0,10.0,3.0
26/12/2005,150,26.0,6.0,59.0,10.0,30.0,49.0
19/12/2005,80,150.0,26.0,6.0,30.0,80.0,205.0
12/12/2005,82,80.0,150.0,26.0,80.0,140.0,73.0
05/12/2005,58,82.0,80.0,150.0,140.0,43.0,40.0
28/11/2005,84,58.0,82.0,80.0,43.0,108.0,76.0
21/11/2005,59,84.0,58.0,82.0,108.0,35.0,66.0
14/11/2005,60,59.0,84.0,58.0,35.0,68.0,76.0
07/11/2005,116,60.0,59.0,84.0,68.0,77.0,114.0
31/10/2005,99,116.0,60.0,59.0,77.0,106.0,104.0
24/10/2005,112,99.0,116.0,60.0,106.0,77.0,103.0
17/10/2005,197,112.0,99.0,116.0,77.0,76.0,121.0
10/10/2005,116,197.0,112.0,99.0,76.0,107.0,134.0
03/10/2005,215,116.0,197.0,112.0,107.0,100.0,185.0
26/09/2005,82,215.0,116.0,197.0,100.0,36.0,72.0
19/09/2005,155,82.0,215.0,116.0,36.0,80.0,109.0
12/09/2005,80,155.0,82.0,215.0,80.0,60.0,107.0
05/09/2005,13,80.0,155.0,82.0,60.0,38.0,22.0
29/08/2005,70,13.0,80.0,155.0,38.0,15.0,0.0
22/08/2005,391,70.0,13.0,80.0,15.0,42.0,76.0
15/08/2005,178,391.0,70.0,13.0,42.0,125.0,109.0
08/08/2005,124,178.0,391.0,70.0,125.0,85.0,133.0
01/08/2005,235,124.0,178.0,391.0,85.0,63.0,79.0
25/07/2005,88,235.0,124.0,178.0,63.0,85.0,158.0
18/07/2005,187,88.0,235.0,124.0,85.0,102.0,17.0
11/07/2005,140,187.0,88.0,235.0,102.0,133.0,63.0
04/07/2005,111,140.0,187.0,88.0,133.0,84.0,106.0
27/06/2005,72,111.0,140.0,187.0,84.0,61.0,7.0
20/06/2005,75,72.0,111.0,140.0,61.0,76.0,81.0
13/06/2005,44,75.0,72.0,111.0,76.0,107.0,14.0
06/06/2005,40,44.0,75.0,72.0,107.0,69.0,18.0
30/05/2005,37,40.0,44.0,75.0,69.0,23.0,22.0
23/05/2005,10,37.0,40.0,44.0,23.0,35.0,7.0
16/05/2005,6,10.0,37.0,40.0,35.0,15.0,3.0
09/05/2005,7,6.0,10.0,37.0,15.0,10.0,0.0
02/05/2005,5,7.0,6.0,10.0,10.0,9.0,1.0
25/04/2005,10,5.0,7.0,6.0,9.0,2.0,1.0
18/04/2005,11,10.0,5.0,7.0,2.0,1.0,3.0
11/04/2005,16,11.0,10.0,5.0,1.0,27.0,1.0
04/04/2005,20,16.0,11.0,10.0,27.0,8.0,2.0
28/03/2005,17,20.0,16.0,11.0,8.0,26.0,3.0
21/03/2005,21,17.0,20.0,16.0,26.0,43.0,3.0
14/03/2005,34,21.0,17.0,20.0,43.0,26.0,4.0
07/03/2005,28,34.0,21.0,17.0,26.0,39.0,9.0
28/02/2005,44,28.0,34.0,21.0,39.0,32.0,13.0
21/02/2005,33,44.0,28.0,34.0,32.0,46.0,16.0
14/02/2005,85,33.0,44.0,28.0,46.0,87.0,29.0
07/02/2005,16,85.0,33.0,44.0,87.0,33.0,14.0
31/01/2005,95,16.0,85.0,33.0,33.0,25.0,3.0
24/01/2005,43,95.0,16.0,85.0,25.0,122.0,39.0
17/01/2005,35,43.0,95.0,16.0,122.0,70.0,34.0
10/01/2005,30,35.0,43.0,95.0,70.0,72.0,0.0
03/01/2005,259,30.0,35.0,43.0,72.0,12.0,11.0
