Date,BUDAPEST,BUDAPEST.L3,BUDAPEST.L2,GYOR.L3,GYOR.L1,BUDAPEST.L1,PEST.L1
28/08/2006,149,138.0,166.0,42.0,54.0,122.0,119.0
21/08/2006,124,166.0,122.0,86.0,54.0,149.0,126.0
14/08/2006,187,122.0,149.0,54.0,45.0,124.0,239.0
07/08/2006,195,149.0,124.0,54.0,46.0,187.0,133.0
31/07/2006,130,124.0,187.0,45.0,48.0,195.0,140.0
24/07/2006,126,187.0,195.0,46.0,24.0,130.0,129.0
17/07/2006,154,195.0,130.0,48.0,21.0,126.0,97.0
10/07/2006,149,130.0,126.0,24.0,40.0,154.0,121.0
03/07/2006,106,126.0,154.0,21.0,27.0,149.0,66.0
26/06/2006,151,154.0,149.0,40.0,10.0,106.0,56.0
19/06/2006,100,149.0,106.0,27.0,30.0,151.0,42.0
12/06/2006,91,106.0,151.0,10.0,8.0,100.0,34.0
05/06/2006,46,151.0,100.0,30.0,30.0,91.0,30.0
29/05/2006,38,100.0,91.0,8.0,10.0,46.0,62.0
22/05/2006,13,91.0,46.0,30.0,1.0,38.0,9.0
15/05/2006,22,46.0,38.0,10.0,0.0,13.0,8.0
08/05/2006,33,38.0,13.0,1.0,1.0,22.0,4.0
01/05/2006,9,13.0,22.0,0.0,6.0,33.0,4.0
24/04/2006,14,22.0,33.0,1.0,3.0,9.0,2.0
17/04/2006,48,33.0,9.0,6.0,20.0,14.0,0.0
10/04/2006,7,9.0,14.0,3.0,1.0,48.0,4.0
03/04/2006,18,14.0,48.0,20.0,8.0,7.0,6.0
27/03/2006,6,48.0,7.0,1.0,18.0,18.0,9.0
20/03/2006,21,7.0,18.0,8.0,13.0,6.0,20.0
13/03/2006,30,18.0,6.0,18.0,8.0,21.0,18.0
06/03/2006,21,6.0,21.0,13.0,26.0,30.0,15.0
27/02/2006,79,21.0,30.0,8.0,10.0,21.0,12.0
20/02/2006,64,30.0,21.0,26.0,82.0,79.0,38.0
13/02/2006,55,21.0,79.0,10.0,40.0,64.0,25.0
06/02/2006,18,79.0,64.0,82.0,21.0,55.0,43.0
30/01/2006,101,64.0,55.0,40.0,53.0,18.0,52.0
23/01/2006,63,55.0,18.0,21.0,39.0,101.0,35.0
16/01/2006,59,18.0,101.0,53.0,40.0,63.0,29.0
09/01/2006,6,101.0,63.0,39.0,42.0,59.0,54.0
02/01/2006,26,63.0,59.0,40.0,0.0,6.0,10.0
26/12/2005,150,59.0,6.0,42.0,43.0,26.0,30.0
19/12/2005,80,6.0,26.0,0.0,81.0,150.0,80.0
12/12/2005,82,26.0,150.0,43.0,59.0,80.0,140.0
05/12/2005,58,150.0,80.0,81.0,14.0,82.0,43.0
28/11/2005,84,80.0,82.0,59.0,34.0,58.0,108.0
21/11/2005,59,82.0,58.0,14.0,9.0,84.0,35.0
14/11/2005,60,58.0,84.0,34.0,66.0,59.0,68.0
07/11/2005,116,84.0,59.0,9.0,56.0,60.0,77.0
31/10/2005,99,59.0,60.0,66.0,52.0,116.0,106.0
24/10/2005,112,60.0,116.0,56.0,52.0,99.0,77.0
17/10/2005,197,116.0,99.0,52.0,55.0,112.0,76.0
10/10/2005,116,99.0,112.0,52.0,85.0,197.0,107.0
03/10/2005,215,112.0,197.0,55.0,50.0,116.0,100.0
26/09/2005,82,197.0,116.0,85.0,35.0,215.0,36.0
19/09/2005,155,116.0,215.0,50.0,62.0,82.0,80.0
12/09/2005,80,215.0,82.0,35.0,15.0,155.0,60.0
05/09/2005,13,82.0,155.0,62.0,23.0,80.0,38.0
29/08/2005,70,155.0,80.0,15.0,7.0,13.0,15.0
22/08/2005,391,80.0,13.0,23.0,34.0,70.0,42.0
15/08/2005,178,13.0,70.0,7.0,87.0,391.0,125.0
08/08/2005,124,70.0,391.0,34.0,14.0,178.0,85.0
01/08/2005,235,391.0,178.0,87.0,41.0,124.0,63.0
25/07/2005,88,178.0,124.0,14.0,33.0,235.0,85.0
18/07/2005,187,124.0,235.0,41.0,37.0,88.0,102.0
11/07/2005,140,235.0,88.0,33.0,21.0,187.0,133.0
04/07/2005,111,88.0,187.0,37.0,9.0,140.0,84.0
27/06/2005,72,187.0,140.0,21.0,28.0,111.0,61.0
20/06/2005,75,140.0,111.0,9.0,7.0,72.0,76.0
13/06/2005,44,111.0,72.0,28.0,5.0,75.0,107.0
06/06/2005,40,72.0,75.0,7.0,7.0,44.0,69.0
30/05/2005,37,75.0,44.0,5.0,6.0,40.0,23.0
23/05/2005,10,44.0,40.0,7.0,4.0,37.0,35.0
16/05/2005,6,40.0,37.0,6.0,5.0,10.0,15.0
09/05/2005,7,37.0,10.0,4.0,3.0,6.0,10.0
02/05/2005,5,10.0,6.0,5.0,5.0,7.0,9.0
25/04/2005,10,6.0,7.0,3.0,0.0,5.0,2.0
18/04/2005,11,7.0,5.0,5.0,1.0,10.0,1.0
11/04/2005,16,5.0,10.0,0.0,3.0,11.0,27.0
04/04/2005,20,10.0,11.0,1.0,5.0,16.0,8.0
28/03/2005,17,11.0,16.0,3.0,3.0,20.0,26.0
21/03/2005,21,16.0,20.0,5.0,1.0,17.0,43.0
14/03/2005,34,20.0,17.0,3.0,17.0,21.0,26.0
07/03/2005,28,17.0,21.0,1.0,3.0,34.0,39.0
28/02/2005,44,21.0,34.0,17.0,11.0,28.0,32.0
21/02/2005,33,34.0,28.0,3.0,11.0,44.0,46.0
14/02/2005,85,28.0,44.0,11.0,7.0,33.0,87.0
07/02/2005,16,44.0,33.0,11.0,13.0,85.0,33.0
31/01/2005,95,33.0,85.0,7.0,23.0,16.0,25.0
24/01/2005,43,85.0,16.0,13.0,15.0,95.0,122.0
17/01/2005,35,16.0,95.0,23.0,30.0,43.0,70.0
10/01/2005,30,95.0,43.0,15.0,7.0,35.0,72.0
03/01/2005,259,43.0,35.0,30.0,9.0,30.0,12.0
